Unnamed: 0,Mumbai.total.confirmed,Mumbai.total.deceased,Mumbai.total.recovered,Mumbai.delta.confirmed,Mumbai.delta.deceased,Mumbai.delta.recovered,Mumbai.delta.tested,Mumbai.total.tested,Mumbai.delta.other,Mumbai.total.other,Mumbai.total.deceased.shift,Mumbai.Levitt.Metric,Mumbai.MA.daily.tests,Mumbai.MA.daily.positivity,Mumbai.percent.case.growth
2020-08-09,123382.0,6799.0,96586.0,1066.0,48.0,1232.0,5628.0,605419.0,,297.0,6751.0,1.0071100577692194,7962.047619047619,0.189410092395167,-0.18251533742331283
2020-08-10,124307.0,6845.0,97993.0,925.0,46.0,1407.0,,605419.0,,297.0,6799.0,1.0067657008383586,,,-0.13227016885553466
2020-08-11,125224.0,6893.0,99147.0,917.0,48.0,1154.0,17544.0,622963.0,,297.0,6845.0,1.0070124178232287,,0.05226858185134519,-0.008648648648648671
2020-08-12,126356.0,6943.0,100069.0,1132.0,50.0,922.0,14913.0,637876.0,,297.0,6893.0,1.007253735673872,,0.07590692684235231,0.23446019629225745
2020-08-13,127556.0,6991.0,100954.0,1200.0,48.0,885.0,,637876.0,,297.0,6943.0,1.006913437995103,,,0.060070671378091856
2020-08-14,128535.0,7038.0,101860.0,979.0,47.0,906.0,7275.0,645151.0,3.0,300.0,6991.0,1.006722929480761,,0.1345704467353952,-0.1841666666666667
2020-08-15,127716.0,7086.0,102749.0,-819.0,48.0,889.0,6442.0,651593.0,,300.0,7038.0,1.0068201193520887,,-0.1271344303011487,-1.836567926455567
2020-08-16,128726.0,7133.0,103468.0,1010.0,47.0,719.0,5097.0,656690.0,,300.0,7086.0,1.0066327970646345,,0.19815577790857367,-2.2332112332112333
2020-08-17,129479.0,7173.0,104301.0,753.0,40.0,833.0,6710.0,663400.0,1.0,301.0,7133.0,1.0056077386793776,,0.11222056631892698,-0.25445544554455446
2020-08-18,130410.0,7222.0,105193.0,931.0,49.0,892.0,,663400.0,1.0,302.0,7173.0,1.0068311724522514,,,0.23638778220451528
2020-08-19,131542.0,7268.0,106057.0,1132.0,46.0,864.0,,663400.0,1.0,303.0,7222.0,1.0063694267515924,,,0.2158968850698173
2020-08-20,132822.0,7314.0,107033.0,1280.0,46.0,976.0,25476.0,688876.0,,303.0,7268.0,1.0063291139240507,,0.05024336630554247,0.1307420494699647
2020-08-21,134228.0,7356.0,108268.0,1406.0,42.0,1235.0,8492.0,697368.0,2.0,305.0,7314.0,1.0057424118129614,,0.16556759302873292,0.09843749999999996
2020-08-22,135362.0,7388.0,109368.0,1134.0,32.0,1100.0,,697368.0,,305.0,7356.0,1.0043501903208265,,,-0.19345661450924612
2020-08-23,136353.0,7422.0,110059.0,991.0,34.0,691.0,12215.0,709583.0,,305.0,7388.0,1.0046020573903627,,0.08112975849365534,-0.12610229276895946
