date,district,state,total.confirmed,total.deceased,total.recovered,delta.confirmed,delta.deceased,delta.recovered,delta.tested,total.tested,delta.other,total.other,levitt.Metric,MA.21.daily.tests,delta.positivity,MA.21.delta.positivity,delta.percent.case.growth,MA.21.delta.percent.case.growth,delta.hospitalized,total.hospitalized,delta.active
2020-07-05,Mumbai,MH,84524.0,4899.0,55884.0,1287.0,69.0,2421.0,4510.0,359159.0,1.0,9.0,0.014184634991956381,8056.761904761905,28.536585365853657,19.79967632024747,0.10662080825451414,0.03772883675655128,176.35209900732656,4579.887332498277,23741.0
2020-07-06,Mumbai,MH,85724.0,4938.0,57152.0,1200.0,39.0,1268.0,3961.0,363120.0,1.0,10.0,0.007929288266550075,7695.857142857143,30.29537995455693,20.659248345813154,-0.06759906759906764,0.03626268191616331,152.1412294705271,4732.028561968804,23634.0
2020-07-07,Mumbai,MH,86509.0,5002.0,58137.0,785.0,64.0,985.0,5483.0,368603.0,1.0,11.0,0.012877441532439582,7453.428571428572,14.316979755608244,20.76637428786239,-0.3458333333333333,0.024411419826047717,100.43248899036966,4832.461050959174,23370.0
2020-07-08,Mumbai,MH,87856.0,5064.0,59238.0,1347.0,62.0,1101.0,5539.0,374142.0,,11.0,0.01231885238644766,7538.714285714285,24.31846903773244,20.096119954801217,0.715923566878981,0.05242002078654853,207.52676846131627,5039.98781942049,23554.0
2020-07-09,Mumbai,MH,89124.0,5132.0,60195.0,1268.0,68.0,957.0,5412.0,379554.0,,11.0,0.013338761911514941,6951.619047619048,23.429416112342942,20.93936782897236,-0.05864884929472902,0.0636581261462522,164.68380925969979,5204.67162868019,23797.0
2020-07-10,Mumbai,MH,90461.0,5205.0,61934.0,1337.0,73.0,1739.0,5899.0,385453.0,276.0,287.0,0.01412425531354211,6786.714285714285,22.664858450584845,21.297392695527,0.054416403785489065,0.04734251037530551,167.6972993429589,5372.368928023149,23322.0
2020-07-11,Mumbai,MH,91745.0,5244.0,63431.0,1284.0,39.0,1497.0,5769.0,391222.0,1.0,288.0,0.007464863834521112,6191.047619047619,22.256890275611024,22.079262756484017,-0.039640987284966345,0.057242069782583296,190.89801060724926,5563.266938630399,23070.0
2020-07-12,Mumbai,MH,92988.0,5288.0,64872.0,1243.0,44.0,1441.0,5278.0,396500.0,,288.0,0.008355536647931837,6281.9047619047615,23.550587343690793,21.879538005152067,-0.031931464174454804,0.06161254006980857,198.83521648141237,5762.102155111811,22828.0
2020-07-13,Mumbai,MH,94146.0,5335.0,65622.0,1158.0,47.0,750.0,5241.0,401741.0,,288.0,0.008848782204331503,6292.047619047619,22.09502003434459,21.64460373925712,-0.06838294448913917,0.03676211719752209,143.8795400618241,5905.981695173635,23189.0
2020-07-14,Mumbai,MH,95100.0,5405.0,66633.0,954.0,70.0,1011.0,6579.0,408320.0,1.0,289.0,0.013035566337454944,6168.0952380952385,14.500683994528044,21.679585641932942,-0.17616580310880825,0.031702047593651236,117.92443841066422,6023.906133584299,23062.0
2020-07-15,Mumbai,MH,96474.0,5467.0,67830.0,1374.0,62.0,1197.0,7070.0,415390.0,,289.0,0.01140556882169052,6095.523809523809,19.434229137199434,21.945650367073917,0.4402515723270439,0.05545423217100896,198.77062601625278,6222.676759600552,23177.0
2020-07-16,Mumbai,MH,97950.0,5523.0,67830.0,1476.0,56.0,,5955.0,421345.0,1.0,290.0,0.010191171006188283,6178.809523809524,24.78589420654912,21.813746635814102,0.07423580786026207,0.060229766839024645,210.9570797101797,6433.633839310732,24597.0
2020-07-17,Mumbai,MH,99164.0,5585.0,69340.0,1214.0,62.0,1510.0,6033.0,427378.0,1.0,291.0,0.011163241602113452,6310.333333333333,20.122658710425988,21.173505798467193,-0.1775067750677507,0.05428332892853026,174.41239230540887,6608.04623161614,24239.0
2020-07-18,Mumbai,MH,100350.0,5650.0,70492.0,1186.0,65.0,1152.0,5849.0,433227.0,,291.0,0.011571112637185497,6373.714285714285,20.27697042229441,21.270592081566818,-0.023064250411861664,0.06506810874671813,163.569715896617,6771.615947512757,24208.0
2020-07-19,Mumbai,MH,101388.0,5714.0,71685.0,1038.0,64.0,1193.0,4989.0,438216.0,1.0,292.0,0.011263758650231843,6358.380952380952,20.80577269993987,21.258931277031582,-0.12478920741989885,0.04213547427411083,134.56322633781025,6906.179173850567,23989.0
2020-07-20,Mumbai,MH,102423.0,5755.0,72648.0,1035.0,41.0,963.0,4867.0,443083.0,,292.0,0.00714973836526464,5862.380952380952,21.265666735155126,21.624426660054038,-0.0028901734104046506,0.0011510968197777425,141.58137113609163,7047.760544986659,24020.0
2020-07-21,Mumbai,MH,103368.0,5817.0,73555.0,945.0,62.0,907.0,7376.0,450459.0,,292.0,0.010715622754778473,5990.142857142857,12.81182212581345,20.92861710820318,-0.08695652173913049,0.015122514027467998,138.03025853789518,7185.790803524554,23996.0
2020-07-22,Mumbai,MH,104678.0,5875.0,75118.0,1310.0,58.0,1563.0,6052.0,456511.0,,292.0,0.009921395101598302,6090.0,21.645736946463977,20.884175348203964,0.3862433862433863,0.04809307080754859,206.48759778180556,7392.278401306359,23685.0
2020-07-23,Mumbai,MH,105923.0,5930.0,77102.0,1245.0,55.0,1984.0,6210.0,462721.0,,292.0,0.009318152979411373,5853.571428571428,20.048309178743963,21.2052144664418,-0.04961832061068705,0.01405536162473285,156.0259053084137,7548.304306614773,22891.0
